Gatenavn,Kommentar,Dato,Tidpunkt,lat,lon
BJERKASTIEN,Hele,26.04.2023,07.00-19.00,59.9526485,10.8511199
BJERKEBAKKEN,Til Linhusveien,27.04.2023,07.00-19.00,59.9554812,10.6367082
BJERKEBAKKEN,Fra Linhusveien,27.04.2023,07.00-19.00,59.9554812,10.6367082
BJERKELUNDGATA,Seilduksgata – Helgesens Gate,12.05.2023,07.00-19.00,59.9248768,10.7601901
BJERKESLLÈEN,Hele,26.04.2023,07.00-19.00,59.9138688,10.7522454
BJERREGAARDS GATE,Ullevålsveien – Uelands Gate,20.04.2023,07.00-19.00,59.9250642,10.745295
BJØRN BONDES VEI,Hele,26.04.2023,07.00-19.00,59.8294218,10.789463
BJØRN FARMANNS GATE,Skarpsnogt – Drammensvn,27.04.2023,07.00-19.00,59.9121851,10.7070735
BJØRN STALLARES VEI,Trondheimsveien – Sinsenterrassen,03.05.2023,07.00-19.00,59.9325679,10.7804256
BJØRNEHIET,Hele,12.05.2023,07.00-19.00,59.9485409,10.6834803
BJØRNERABBEN,Hele,24.04.2023,07.00-19.00,59.9302549,10.6335341
BJØRNERUDVEIEN,Hele,27.04.2023,19.00-07.00,59.8433678,10.8158301
BJØRNHEIMVEIEN,"Hele, inkl stikkvei",26.04.2023,07.00-19.00,59.9419769,10.913192
BJØRNSLETTVEIEN,Hele,17.04.2023,07.00-19.00,59.9286207,10.6362546
BJØRNVEIEN,Hele,12.05.2023,07.00-19.00,59.9506235,10.6856455
BJØRNÅSVEIEN,Hele,27.04.2023,07.00-19.00,59.8303168,10.8331612
BLAKKENS VEI,Hele,27.04.2023,07.00-19.00,59.8421616,10.8302956
BLIDERNVEIEN,til Kirkeveien,16.04.2023,19.00-07.00,59.9374148,10.7222151
BLINDERNVEIEN,Kirkeveien – Halvor Blindern Plass,17.04.2023,19.00-07.00,59.9374148,10.7222151
BLINDERNVEIEN TURVEI,Blindernveien – Sognsveien,25.04.2023,07.00-19.00,59.9374148,10.7222151
BLOKKAVEIEN,Hele,19.05.2023,07.00-19.00,59.9238178,10.6528064
BLÅBÆRSVINGEN,Hele,22.05.2023,07.00-19.00,59.9713233,10.6524623
BLÅSBORTVEIEN,Hele,03.05.2023,07.00-19.00,59.9514289,10.7557985
BOGERUDSLYNGEN,Hele,10.05.2023,07.00-19.00,59.8789583,10.8390955
BOGERUDVEIEN,Hele,10.05.2023,07.00-19.00,59.878855,10.8381097
BOGSTA NEDRE,P-plass,16.04.2023,19.00-07.00,59.9270711,10.7202092
BOGSTAD ØVRE,P-plass,16.04.2023,19.00-07.00,59.9270711,10.7202092
BOGSTADVEIEN,Hele,19.04.2023,19.00-07.00,59.9270711,10.7202092
BOLTELØKKA ALLÉ,Eugenies Gate – Ullevålsveien,10.05.2023,07.00-19.00,59.9282802,10.7365273
BORGENBAKKEN,Hele,20.04.2023,07.00-19.00,59.9367199,10.6980623
BORGENVEIEN,Hele,20.04.2023,07.00-19.00,59.9396686,10.7011478
BORGER WITHS GATE,H. N.Hauges Gt. – Birch Reichenwalds Gt,26.04.2023,07.00-19.00,59.9409782,10.7756145
BORGER WITHS GATE,(Nr 19-33)Kyrre Grepps Gt – Borger Withs Gt,26.04.2023,07.00-19.00,59.9409782,10.7756145
BORGESTADVEIEN,Hele,05.05.2023,07.00-19.00,59.9571637,10.7392522
BORGGATA,Grønlandsleiret – Jens Bjelkes Gate,12.05.2023,07.00-19.00,59.9119559,10.7702785
BRAGEVEIEN,Stensgata – Sofies Gate,20.04.2023,07.00-19.00,59.9311654,10.7339488
